customer_id,first_name,last_name,email,phone_number,address,city,state,postal_code,country,created_at,updated_at
1,Essa,Nancarrow,enancarrow0@goodreads.com,670-790-9344,Apt 1802,Alençon,Basse-Normandie,61004 CEDEX,France,2024-02-07,
2,Murray,Snowman,msnowman1@gizmodo.com,,,Caen,Basse-Normandie,14097 CEDEX 9,France,2023-07-10,188355
3,Jobie,Gosling,jgosling2@sciencedirect.com,360-824-1644,Room 1679,,Bretagne,35047 CEDEX 9,France,2023-06-15,
4,Luce,Prier,lprier3@theatlantic.com,579-416-1015,6th Floor,,Languedoc-Roussillon,34087 CEDEX 4,France,2023-02-12,
5,Tyrus,Hazelby,thazelby4@nps.gov,819-109-4156,Apt 527,Grenoble,Rhône-Alpes,38035 CEDEX 2,France,2024-01-19,2509
6,Raimund,Jelfs,rjelfs5@newyorker.com,683-934-8746,Room 1721,Châtillon,Île-de-France,92324 CEDEX,France,2024-04-14,
7,Netty,Janczewski,njanczewski6@harvard.edu,,3rd Floor,Marmande,,47211 CEDEX,France,2023-09-06,5101
8,Bartholemy,Driscoll,bdriscoll7@delicious.com,614-902-5203,Room 119,La Garenne-Colombes,Île-de-France,92959 CEDEX,France,2023-06-23,
9,Gilburt,Sahlstrom,gsahlstrom8@dion.ne.jp,,Suite 93,Lagny-sur-Marne,Île-de-France,77404 CEDEX,France,2023-02-16,76804 CEDEX
10,Ardyth,Pepper,apepper9@theatlantic.com,188-327-4424,,,Picardie,80146 CEDEX,France,2023-10-08,
11,Harlin,Blackie,hblackiea@princeton.edu,860-394-4621,9th Floor,Guilherand-Granges,Rhône-Alpes,07509 CEDEX,France,2023-07-17,
12,Brennen,Maddaford,bmaddafordb@about.me,219-832-9865,12th Floor,Meaux,Île-de-France,77104 CEDEX,France,2023-03-16,671 07
13,Dina,Coppenhall,dcoppenhallc@cisco.com,824-150-4859,Suite 18,Orléans,Centre,45016 CEDEX 1,France,2024-05-29,49490-000
14,Lucho,Bosomworth,lbosomworthd@timesonline.co.uk,482-871-2410,Suite 85,Angers,Pays de la Loire,49033 CEDEX 01,France,2023-01-27,
15,Kerrie,Sinclair,ksinclaire@abc.net.au,292-230-2987,Apt 1350,Le Mans,Pays de la Loire,72052 CEDEX 2,France,2023-08-07,18560-000
16,Brett,Blose,bblosef@sciencedirect.com,,Room 1531,Sarreguemines,Lorraine,57204 CEDEX,France,2023-02-17,
17,Mischa,Spirit,mspiritg@hubpages.com,,Suite 76,Nîmes,Languedoc-Roussillon,30034 CEDEX 1,France,2023-12-20,42-244
