customer_id,first_name,last_name,email,phone_number,address,city,state,postal_code,country,created_at,updated_at
1,May,Langeley,mlangeley0@4shared.com,209-429-9681,Suite 67,,,,Finland,2013-06-30 15:08:22,2008-10-19 11:55:13
2,Sheff,Sherratt,ssherratt1@uol.com.br,528-719-3853,PO Box 19272,Pyhäranta,,23950,Finland,2018-05-20 20:11:40,2000-07-14 01:29:41
3,Muhammad,Dewdeny,mdewdeny2@edublogs.org,405-472-8156,Apt 1385,Lyon,Rhône-Alpes,69281 CEDEX 01,France,2024-01-16 19:11:56,2015-11-01 08:57:54
4,Beret,Heitz,bheitz3@samsung.com,369-918-0902,Room 1253,Rive-de-Gier,,42809 CEDEX,France,2012-10-03 05:37:05,2009-09-01 10:38:21
5,Judi,Placstone,jplacstone4@boston.com,873-717-6783,Suite 60,Närpes,,64210,Finland,2022-03-25 15:04:37,2021-06-30 08:18:10
6,Hillel,Burdikin,hburdikin5@washingtonpost.com,977-564-1898,PO Box 72487,Bourg-en-Bresse,Rhône-Alpes,01004 CEDEX,France,2006-06-23 23:41:54,2007-01-06 06:53:38
7,Shannen,Bayle,sbayle6@sourceforge.net,,Room 1667,Bondoufle,Île-de-France,91077 CEDEX,France,2014-03-16 19:47:08,2014-10-20 08:09:49
8,Sheeree,Hans,shans7@oracle.com,899-889-1429,Room 223,Vaasa,,66999,Finland,2023-10-25 02:17:04,2012-10-24 10:50:35
9,Pansy,Humphris,phumphris8@wsj.com,448-548-1615,Suite 61,Puteaux,Île-de-France,92804 CEDEX,France,2015-07-16 13:28:58,2004-09-14 18:35:34
10,Auguste,Fawckner,afawckner9@umich.edu,284-828-0624,,Dijon,Bourgogne,21072 CEDEX,France,2021-02-25 00:45:31,2017-01-20 11:47:31
11,Enos,Haythornthwaite,ehaythornthwaitea@issuu.com,296-140-8624,Room 1896,Renko,,14300,Finland,2004-09-22 12:16:08,2021-08-18 05:03:16
12,Marieann,Postill,mpostillb@china.com.cn,852-270-3091,Suite 8,,Bourgogne,21083 CEDEX 9,France,2015-07-14 21:16:34,2020-01-11 03:06:36
13,Carrissa,Sandaver,,853-600-3274,Room 1311,Kontiolahti,,81101,Finland,2010-02-10 05:16:40,2012-01-14 09:11:16
14,Griz,Keaveny,gkeavenyd@salon.com,886-381-3845,9th Floor,Courtaboeuf,Île-de-France,91959 CEDEX,France,2018-10-21 09:54:36,2012-02-01 06:09:42
15,Arlan,Elsley,aelsleye@statcounter.com,521-464-6621,PO Box 51508,Ajaccio,Corse,20311 CEDEX 1,France,2024-04-06 19:32:29,2016-02-20 06:34:16
16,Claretta,Danbi,cdanbif@nationalgeographic.com,148-888-4514,Suite 56,Colmar,Alsace,68020 CEDEX,France,2002-10-16 15:59:37,2001-04-08 08:51:07
17,Maritsa,Gilardengo,mgilardengog@flickr.com,287-153-6315,Apt 89,Béthune,,62411 CEDEX,France,2007-01-27 23:38:39,2009-09-07 18:50:07
18,Reggie,Gullane,rgullaneh@unesco.org,233-198-9119,PO Box 62888,,Île-de-France,95194 CEDEX,France,2019-09-15 19:11:19,2011-07-25 18:04:25
19,Trudi,Barkly,tbarklyi@posterous.com,618-730-0575,Apt 1804,,Midi-Pyrénées,65004 CEDEX,France,2013-06-16 09:25:03,2004-06-29 13:07:13
20,Misti,Tyrer,mtyrerj@un.org,611-295-4815,Suite 68,Lons-le-Saunier,Franche-Comté,39004 CEDEX,France,2016-06-26 04:46:25,2010-11-05 23:37:01
21,Vasilis,Stive,vstivek@virginia.edu,600-740-2290,,Villefranche-sur-Saône,Rhône-Alpes,69669 CEDEX,France,2015-10-19 20:52:42,2013-01-16 01:09:40
